TF-Pair	Correlation	P-Value
REST:ZNF143	-0.00550972	0.912528029
ZNF143:REST	-0.00550972	0.912528029
SPI1:ZEB1	-0.005988797	0.904956738
ZEB1:SPI1	-0.005988797	0.904956738
RUNX3:SPI1	-0.006038098	0.904178061
SPI1:RUNX3	-0.006038098	0.904178061
EGR1:USF1	-0.006262158	0.90064037
USF1:EGR1	-0.006262158	0.90064037
BCL3:TCF12	-0.006816998	0.891888578
TCF12:BCL3	-0.006816998	0.891888578
EBF1:TCF3	-0.007513741	0.88091717
TCF3:EBF1	-0.007513741	0.88091717
SIN3A:YY1	-0.007791593	0.876548121
YY1:SIN3A	-0.007791593	0.876548121
MEF2A:NFYB	-0.008240084	0.869503859
NFYB:MEF2A	-0.008240084	0.869503859
ELF1:RELA	-0.008720397	0.861971219
RELA:ELF1	-0.008720397	0.861971219
MXI1:REST	-0.008981308	0.8578846
REST:MXI1	-0.008981308	0.8578846
SIN3A:SPI1	-0.009111849	0.855841366
SPI1:SIN3A	-0.009111849	0.855841366
BCL3:NFATC1	-0.009143149	0.855351595
NFATC1:BCL3	-0.009143149	0.855351595
TCF12:ZEB1	-0.009397621	0.851371831
ZEB1:TCF12	-0.009397621	0.851371831
IKZF1:NFATC1	-0.009699136	0.846661216
NFATC1:IKZF1	-0.009699136	0.846661216
ELF1:TCF12	-0.010005263	0.841884134
TCF12:ELF1	-0.010005263	0.841884134
NFYB:ZNF143	-0.01002816	0.841527067
ZNF143:NFYB	-0.01002816	0.841527067
MAX:RUNX3	-0.010542749	0.833510835
RUNX3:MAX	-0.010542749	0.833510835
EGR1:PAX5	-0.011084283	0.825093456
PAX5:EGR1	-0.011084283	0.825093456
BCL3:BHLHE40	-0.011689869	0.815704192
BHLHE40:BCL3	-0.011689869	0.815704192
RUNX3:TCF3	-0.012088413	0.809539263
TCF3:RUNX3	-0.012088413	0.809539263
SIN3A:NFATC1	-0.012089548	0.809521722
NFATC1:SIN3A	-0.012089548	0.809521722
NFATC1:ZEB1	-0.012687627	0.800292477
ZEB1:NFATC1	-0.012687627	0.800292477
EBF1:YY1	-0.01313559	0.793397816
YY1:EBF1	-0.01313559	0.793397816
SIN3A:ZEB1	-0.013380047	0.789642072
ZEB1:SIN3A	-0.013380047	0.789642072
REST:SIN3A	-0.014285691	0.775771162
SIN3A:REST	-0.014285691	0.775771162
ELF1:NFIC	-0.01432516	0.775168228
NFIC:ELF1	-0.01432516	0.775168228
BCL3:ZNF143	-0.014711752	0.76926985
ZNF143:BCL3	-0.014711752	0.76926985
BCL3:SPI1	-0.014919063	0.766112265
SPI1:BCL3	-0.014919063	0.766112265
BHLHE40:EGR1	-0.016427644	0.743254365
EGR1:BHLHE40	-0.016427644	0.743254365
ELF1:MXI1	-0.016480246	0.742461271
MXI1:ELF1	-0.016480246	0.742461271
BHLHE40:MXI1	-0.016710482	0.738993133
MXI1:BHLHE40	-0.016710482	0.738993133
MEF2A:SPI1	-0.017370851	0.729075253
SPI1:MEF2A	-0.017370851	0.729075253
BHLHE40:RUNX3	-0.017704373	0.724083185
RUNX3:BHLHE40	-0.017704373	0.724083185
MEF2A:USF1	-0.018247996	0.715971459
USF1:MEF2A	-0.018247996	0.715971459
ZEB1:USF1	-0.0184638	0.712760095
USF1:ZEB1	-0.0184638	0.712760095
RUNX3:ZEB1	-0.018966675	0.705296595
ZEB1:RUNX3	-0.018966675	0.705296595
BATF:REST	-0.019837615	0.692437332
REST:BATF	-0.019837615	0.692437332
SPI1:USF2	-0.019918495	0.691247559
USF2:SPI1	-0.019918495	0.691247559
BCL3:RELA	-0.020165011	0.687625902
RELA:BCL3	-0.020165011	0.687625902
MXI1:RUNX3	-0.020802626	0.678291714
RUNX3:MXI1	-0.020802626	0.678291714
RELA:NFATC1	-0.020818002	0.678067208
NFATC1:RELA	-0.020818002	0.678067208
NFATC1:ZNF143	-0.02094889	0.676157373
ZNF143:NFATC1	-0.02094889	0.676157373
BATF:ELF1	-0.021382832	0.669840414
ELF1:BATF	-0.021382832	0.669840414
RUNX3:NFYB	-0.021510268	0.6679897
NFYB:RUNX3	-0.021510268	0.6679897
EBF1:MXI1	-0.021541919	0.667530344
MXI1:EBF1	-0.021541919	0.667530344
MAX:BHLHE40	-0.021792865	0.663892796
BHLHE40:MAX	-0.021792865	0.663892796
BCL3:PAX5	-0.021894957	0.662415195
PAX5:BCL3	-0.021894957	0.662415195
IKZF1:BATF	-0.021958671	0.661493697
BATF:IKZF1	-0.021958671	0.661493697
EBF1:ZNF143	-0.022472828	0.654076283
ZNF143:EBF1	-0.022472828	0.654076283
BATF:EGR1	-0.023511039	0.639202572
EGR1:BATF	-0.023511039	0.639202572
SIN3A:TCF3	-0.02374199	0.635913183
TCF3:SIN3A	-0.02374199	0.635913183
ELF1:YY1	-0.025472022	0.611503442
YY1:ELF1	-0.025472022	0.611503442
RUNX3:USF2	-0.025554421	0.610351217
USF2:RUNX3	-0.025554421	0.610351217
REST:USF1	-0.026858216	0.592248935
USF1:REST	-0.026858216	0.592248935
MXI1:ZEB1	-0.028066795	0.575691268
ZEB1:MXI1	-0.028066795	0.575691268
SPI1:YY1	-0.028235988	0.573390796
YY1:SPI1	-0.028235988	0.573390796
IKZF1:ZNF143	-0.028957518	0.563629415
ZNF143:IKZF1	-0.028957518	0.563629415
BHLHE40:TCF3	-0.029958239	0.550224465
TCF3:BHLHE40	-0.029958239	0.550224465
PAX5:ZNF143	-0.030356078	0.544939096
ZNF143:PAX5	-0.030356078	0.544939096
REST:RUNX3	-0.030400202	0.544354447
RUNX3:REST	-0.030400202	0.544354447
MXI1:RELA	-0.030444873	0.543762872
RELA:MXI1	-0.030444873	0.543762872
EGR1:ZNF143	-0.030559908	0.542240943
ZNF143:EGR1	-0.030559908	0.542240943
BHLHE40:YY1	-0.030957137	0.537001845
YY1:BHLHE40	-0.030957137	0.537001845
MEF2A:REST	-0.031436	0.53071995
REST:MEF2A	-0.031436	0.53071995
MAX:MXI1	-0.031548064	0.52925524
MXI1:MAX	-0.031548064	0.52925524
MEF2A:RUNX3	-0.031688932	0.52741696
RUNX3:MEF2A	-0.031688932	0.52741696
MEF2A:NFATC1	-0.032191777	0.52088158
NFATC1:MEF2A	-0.032191777	0.52088158
REST:SPI1	-0.032271343	0.519851293
SPI1:REST	-0.032271343	0.519851293
EGR1:TCF3	-0.03259062	0.515727607
TCF3:EGR1	-0.03259062	0.515727607
EBF1:NFIC	-0.032927766	0.511391552
NFIC:EBF1	-0.032927766	0.511391552
NFYB:PAX5	-0.033211905	0.507751994
PAX5:NFYB	-0.033211905	0.507751994
NFATC1:YY1	-0.033343294	0.506073617
YY1:NFATC1	-0.033343294	0.506073617
REST:ZEB1	-0.033761736	0.500747841
ZEB1:REST	-0.033761736	0.500747841
IKZF1:NFIC	-0.033774407	0.500587023
NFIC:IKZF1	-0.033774407	0.500587023
BHLHE40:TCF12	-0.03427336	0.494276511
TCF12:BHLHE40	-0.03427336	0.494276511
BATF:SPI1	-0.034458183	0.491949757
SPI1:BATF	-0.034458183	0.491949757
EBF1:MAX	-0.035746332	0.475897028
MAX:EBF1	-0.035746332	0.475897028
ELF1:MAX	-0.036310256	0.468960582
MAX:ELF1	-0.036310256	0.468960582
PAX5:YY1	-0.037479308	0.454760001
YY1:PAX5	-0.037479308	0.454760001
REST:NFYB	-0.037487384	0.454662741
NFYB:REST	-0.037487384	0.454662741
MAX:NFIC	-0.038013301	0.448354708
NFIC:MAX	-0.038013301	0.448354708
NFYB:ZEB1	-0.038281401	0.445158179
ZEB1:NFYB	-0.038281401	0.445158179
BCL3:MXI1	-0.038866086	0.438232105
MXI1:BCL3	-0.038866086	0.438232105
BATF:ZNF143	-0.039283786	0.433322152
ZNF143:BATF	-0.039283786	0.433322152
BHLHE40:USF1	-0.039305715	0.433065263
USF1:BHLHE40	-0.039305715	0.433065263
IKZF1:NFYB	-0.039494602	0.430856141
NFYB:IKZF1	-0.039494602	0.430856141
TCF12:ZNF143	-0.040120224	0.423585901
ZNF143:TCF12	-0.040120224	0.423585901
RELA:SIN3A	-0.040246167	0.42213104
SIN3A:RELA	-0.040246167	0.42213104
BHLHE40:USF2	-0.041123306	0.412079736
USF2:BHLHE40	-0.041123306	0.412079736
PAX5:SPI1	-0.041148478	0.411793393
SPI1:PAX5	-0.041148478	0.411793393
EGR1:REST	-0.041455635	0.408308761
REST:EGR1	-0.041455635	0.408308761
REST:PAX5	-0.042416663	0.397519704
PAX5:REST	-0.042416663	0.397519704
MXI1:SPI1	-0.042689034	0.394493338
SPI1:MXI1	-0.042689034	0.394493338
SIN3A:NFYB	-0.042854303	0.392663785
NFYB:SIN3A	-0.042854303	0.392663785
MXI1:TCF3	-0.043012771	0.390914345
TCF3:MXI1	-0.043012771	0.390914345
IKZF1:REST	-0.043121347	0.389718423
REST:IKZF1	-0.043121347	0.389718423
BATF:NFIC	-0.043516297	0.385386947
NFIC:BATF	-0.043516297	0.385386947
MAX:EGR1	-0.04391929	0.380997591
EGR1:MAX	-0.04391929	0.380997591
BATF:BHLHE40	-0.04459199	0.373739087
BHLHE40:BATF	-0.04459199	0.373739087
BATF:SIN3A	-0.044670277	0.372899939
SIN3A:BATF	-0.044670277	0.372899939
ELF1:NFATC1	-0.045530181	0.363759381
NFATC1:ELF1	-0.045530181	0.363759381
MXI1:EGR1	-0.045854673	0.360346715
EGR1:MXI1	-0.045854673	0.360346715
MXI1:SIN3A	-0.045894807	0.35992602
SIN3A:MXI1	-0.045894807	0.35992602
USF2:ZNF143	-0.04604574	0.358346662
ZNF143:USF2	-0.04604574	0.358346662
IKZF1:BCL3	-0.046323034	0.355456409
BCL3:IKZF1	-0.046323034	0.355456409
ELF1:SPI1	-0.047823667	0.340070472
SPI1:ELF1	-0.047823667	0.340070472
EGR1:RELA	-0.048405912	0.334217005
RELA:EGR1	-0.048405912	0.334217005
IKZF1:ZEB1	-0.048955652	0.328750082
ZEB1:IKZF1	-0.048955652	0.328750082
NFIC:TCF3	-0.04911323	0.327193756
TCF3:NFIC	-0.04911323	0.327193756
IKZF1:TCF12	-0.049429157	0.324087852
TCF12:IKZF1	-0.049429157	0.324087852
ELF1:USF2	-0.049733892	0.321110173
USF2:ELF1	-0.049733892	0.321110173
EBF1:NFATC1	-0.050028105	0.318252248
NFATC1:EBF1	-0.050028105	0.318252248
RUNX3:YY1	-0.051642886	0.302863082
YY1:RUNX3	-0.051642886	0.302863082
IKZF1:USF1	-0.05248729	0.295015384
USF1:IKZF1	-0.05248729	0.295015384
NFYB:YY1	-0.053327924	0.287338704
YY1:NFYB	-0.053327924	0.287338704
SIN3A:USF1	-0.053328684	0.28733182
USF1:SIN3A	-0.053328684	0.28733182
BHLHE40:SIN3A	-0.053507927	0.285712531
SIN3A:BHLHE40	-0.053507927	0.285712531
BCL3:EGR1	-0.054019754	0.281122527
EGR1:BCL3	-0.054019754	0.281122527
ELF1:USF1	-0.05408595	0.280532546
USF1:ELF1	-0.05408595	0.280532546
MAX:USF1	-0.054579429	0.276160801
USF1:MAX	-0.054579429	0.276160801
BCL3:REST	-0.055014154	0.272348092
REST:BCL3	-0.055014154	0.272348092
MEF2A:ELF1	-0.055172348	0.270969619
ELF1:MEF2A	-0.055172348	0.270969619
MEF2A:ZNF143	-0.055239998	0.270381591
ZNF143:MEF2A	-0.055239998	0.270381591
RELA:SPI1	-0.055250988	0.270286146
SPI1:RELA	-0.055250988	0.270286146
EGR1:TCF12	-0.056174013	0.262351911
TCF12:EGR1	-0.056174013	0.262351911
REST:RELA	-0.059533639	0.234833203
RELA:REST	-0.059533639	0.234833203
MXI1:YY1	-0.059780913	0.232891416
YY1:MXI1	-0.059780913	0.232891416
USF2:TCF3	-0.060139772	0.230093591
TCF3:USF2	-0.060139772	0.230093591
BHLHE40:PAX5	-0.06143569	0.220188549
PAX5:BHLHE40	-0.06143569	0.220188549
BCL3:ELF1	-0.062926212	0.209177406
ELF1:BCL3	-0.062926212	0.209177406
BCL3:NFIC	-0.063203926	0.207170517
NFIC:BCL3	-0.063203926	0.207170517
BCL3:USF1	-0.063442826	0.205455278
USF1:BCL3	-0.063442826	0.205455278
IKZF1:YY1	-0.063835226	0.202660309
YY1:IKZF1	-0.063835226	0.202660309
IKZF1:MAX	-0.063837131	0.202646808
MAX:IKZF1	-0.063837131	0.202646808
SIN3A:NFIC	-0.064501784	0.197976016
NFIC:SIN3A	-0.064501784	0.197976016
IKZF1:RUNX3	-0.065180247	0.193289596
RUNX3:IKZF1	-0.065180247	0.193289596
IKZF1:SPI1	-0.066851437	0.182093244
SPI1:IKZF1	-0.066851437	0.182093244
NFATC1:USF2	-0.067639425	0.176983412
USF2:NFATC1	-0.067639425	0.176983412
BATF:USF1	-0.068262049	0.173021783
USF1:BATF	-0.068262049	0.173021783
IKZF1:BHLHE40	-0.068663398	0.170503321
BHLHE40:IKZF1	-0.068663398	0.170503321
MAX:NFYB	-0.069333284	0.166360893
NFYB:MAX	-0.069333284	0.166360893
BHLHE40:ZNF143	-0.070150636	0.161409242
ZNF143:BHLHE40	-0.070150636	0.161409242
EBF1:BHLHE40	-0.071807349	0.151713965
BHLHE40:EBF1	-0.071807349	0.151713965
TCF12:PAX5	-0.072283966	0.149008272
PAX5:TCF12	-0.072283966	0.149008272
SPI1:USF1	-0.07335708	0.143050846
USF1:SPI1	-0.07335708	0.143050846
IKZF1:RELA	-0.073517275	0.142177362
RELA:IKZF1	-0.073517275	0.142177362
BHLHE40:ZEB1	-0.075108514	0.133721141
ZEB1:BHLHE40	-0.075108514	0.133721141
MAX:SIN3A	-0.075444077	0.131988406
SIN3A:MAX	-0.075444077	0.131988406
EGR1:SPI1	-0.075534642	0.131523738
SPI1:EGR1	-0.075534642	0.131523738
MEF2A:TCF3	-0.075882026	0.129753115
TCF3:MEF2A	-0.075882026	0.129753115
MXI1:USF2	-0.079115269	0.114145639
USF2:MXI1	-0.079115269	0.114145639
RUNX3:ZNF143	-0.080768448	0.106755421
ZNF143:RUNX3	-0.080768448	0.106755421
EBF1:RUNX3	-0.081432368	0.103895992
RUNX3:EBF1	-0.081432368	0.103895992
TCF12:RUNX3	-0.083946295	0.093614424
RUNX3:TCF12	-0.083946295	0.093614424
MEF2A:MXI1	-0.086700003	0.083302792
MXI1:MEF2A	-0.086700003	0.083302792
IKZF1:ELF1	-0.089996781	0.072184503
ELF1:IKZF1	-0.089996781	0.072184503
BCL3:USF2	-0.090434876	0.070802686
USF2:BCL3	-0.090434876	0.070802686
ELF1:PAX5	-0.093828766	0.060814664
PAX5:ELF1	-0.093828766	0.060814664
EBF1:USF2	-0.094552615	0.058842398
USF2:EBF1	-0.094552615	0.058842398
EBF1:RELA	-0.123987678	0.013080297
RELA:EBF1	-0.123987678	0.013080297